country,orders_count,units_sold,gross_revenue
United Kingdom,17908,4651846,52346877.6
Netherlands,94,200834,2151553.59
EIRE,277,146560,1711819.39
Germany,453,120269,1369839.6199999999
France,404,118533,1329903.39
Australia,62,85742,995414.01
Sweden,33,35847,401879.89
Switzerland,55,30801,361691.96
Japan,20,26053,293155.44
Spain,78,23488,280843.8
Belgium,97,23730,272131.88
Norway,28,17280,188612.52
Portugal,52,16717,175959.28
Finland,42,10690,120972.15
Denmark,21,8570,101083.99
Channel Islands,23,8388,95932.24
Italy,30,6900,78536.24
Austria,11,5639,69147.26
Singapore,4,5234,63480.95
Cyprus,12,4758,61614.64
Israel,10,4554,54722.14
Iceland,8,3969,38307.42
USA,8,3039,32846.409999999996
Unspecified,13,2799,32638.739999999998
Canada,5,2754,30398.670000000002
Hong Kong,6,2231,27006.66
Poland,11,1639,19793.11
Malta,6,1016,12717.23
United Arab Emirates,2,981,11966.26
Greece,2,759,9666.53
Lithuania,4,640,8188.08
Czech Republic,2,670,7674.44
European Community,3,490,6210.23
Lebanon,1,386,5692.32
Brazil,1,353,4652.2699999999995
RSA,1,351,4259.83
Bahrain,2,260,3226.8599999999997
Saudi Arabia,1,80,969.5
