product_no,product_name,units_sold,gross_revenue
23843,Paper Craft Little Birdie,80995,1002718.1000000001
23166,Medium Ceramic Top Storage Jar,78033,881990.18
22197,Popcorn Holder,56902,587222.66
84077,World War 2 Gliders Asstd Designs,54951,568722.59
85123A,Cream Hanging Heart T-Light Holder,37937,484354.72
84879,Assorted Colour Bird Ornament,36394,420132.72000000003
21212,Pack Of 72 Retrospot Cake Cases,36492,391241.08
23084,Rabbit Night Light,30742,328529.51
22423,Regency Cakestand 3 Tier,13863,306900.94
85099B,Jumbo Bag Red Retrospot,48375,296584.47000000003
