product_no,product_name,returned_units,return_amount
23166,Medium Ceramic Top Storage Jar,74494,843277.9600000001
23843,Paper Craft Little Birdie,80995,501359.05000000005
84347,Rotating Silver Angels T-Light Hldr,9367,96310.81999999999
21108,Fairy Cake Flannel Assorted Colour,3150,38921.4
85123A,Cream Hanging Heart T-Light Holder,2578,33190.99
21175,Gin And Tonic Diet Metal Sign,2030,24684.61
22273,Feltcraft Doll Molly,1447,18424.21
47566B,Tea Time Party Bunting,1424,18376.16
22423,Regency Cakestand 3 Tier,855,18148.61
22920,Herb Marker Basil,1527,16508.190000000002
